,type,lon,lat,geometry
3696,hospital,48.2825195,41.6981219,POINT (48.2825195 41.6981219)
3697,school,46.1250665,42.1334846,POINT (46.1250665 42.1334846)
3698,school,47.2355156,42.1228981,POINT (47.2355156 42.1228981)
3699,food,47.6859461,42.768981,POINT (47.6859461 42.768981)
3700,food,46.9273949,42.538578,POINT (46.9273949 42.538578)
3701,food,46.9268227,42.5380325,POINT (46.9268227 42.5380325)
3702,food,46.9111786,42.5361977,POINT (46.9111786 42.5361977)
3703,food,47.0665207,42.5033798,POINT (47.0665207 42.5033798)
3704,school,47.0681,42.5047264,POINT (47.0681 42.5047264)
3705,bank,47.0675583,42.5045547,POINT (47.0675583 42.5045547)
3706,school,47.0598984,42.5045509,POINT (47.0598984 42.5045509)
3707,school,47.0169418,42.5768256,POINT (47.0169418 42.5768256)
3708,school,46.9199295,42.4857826,POINT (46.9199295 42.4857826)
3709,hospital,46.9241257,42.485714,POINT (46.9241257 42.485714)
3710,kgarden,46.9197083,42.4861603,POINT (46.9197083 42.4861603)
3711,hospital,47.0339355,42.5140038,POINT (47.0339355 42.5140038)
3712,hospital,47.0173454,42.5776329,POINT (47.0173454 42.5776329)
3713,kgarden,47.0176086,42.5772171,POINT (47.0176086 42.5772171)
3714,hospital,47.2230682,42.1021767,POINT (47.2230682 42.1021767)
3715,hospital,42.8472416,44.0507933,POINT (42.8472416 44.0507933)
3716,food,42.8473924,44.0500102,POINT (42.8473924 44.0500102)
3717,food,43.0400131,44.0533912,POINT (43.0400131 44.0533912)
3718,food,43.0401757,44.0534581,POINT (43.0401757 44.0534581)
3719,food,43.0403797,44.0535482,POINT (43.0403797 44.0535482)
3720,food,42.8567166,44.0289851,POINT (42.8567166 44.0289851)
3721,office,43.038418,44.0534908,POINT (43.038418 44.0534908)
3722,office,43.038013,44.0539433,POINT (43.038013 44.0539433)
3723,office,43.038632,44.0533934,POINT (43.038632 44.0533934)
3724,kgarden,43.0382088,44.0537253,POINT (43.0382088 44.0537253)
3725,office,43.0379961,44.0539691,POINT (43.0379961 44.0539691)
3726,school,46.5045857,43.2775689,POINT (46.5045857 43.2775689)
3727,food,43.5879222,43.4592541,POINT (43.5879222 43.4592541)
3728,atm,41.5260673,45.4416719,POINT (41.5260673 45.4416719)
3729,food,41.1819501,43.5439211,POINT (41.1819501 43.5439211)
3730,food,47.2148651,42.0719061,POINT (47.2148651 42.0719061)
3731,food,47.2138701,42.0704491,POINT (47.2138701 42.0704491)
3732,food,47.2144617,42.0709614,POINT (47.2144617 42.0709614)
3733,food,47.2145241,42.0711244,POINT (47.2145241 42.0711244)
3734,food,47.2135586,42.0713033,POINT (47.2135586 42.0713033)
3735,school,47.0358224,42.5142377,POINT (47.0358224 42.5142377)
3736,office,45.8618694,43.2982404,POINT (45.8618694 43.2982404)
3737,food,47.6921776,42.7407181,POINT (47.6921776 42.7407181)
3738,food,41.9231723,45.0243291,POINT (41.9231723 45.0243291)
3739,food,47.517779,42.967506,POINT (47.517779 42.967506)
3740,food,43.0642716,44.0377046,POINT (43.0642716 44.0377046)
3741,kgarden,47.8036596,42.3492141,POINT (47.8036596 42.3492141)
3742,school,47.805313,42.3507028,POINT (47.805313 42.3507028)
3743,school,47.7920744,42.3394311,POINT (47.7920744 42.3394311)
